uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,Standard Document,"ACT, Inc.",ACT College and Career Readiness Standards-Reading,2014,Draft,,"ACT, Inc.","ACT, Inc.",,College and Career Readiness Standards for Reading,Reading,,,,,,,,,,,,,,,"http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingIDT,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingREL,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingWME,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingTST,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingPPV,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingARG,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingSYN",,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,Statement,,,,,,,,,Close Reading (CLR),Reading,,,Original,,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,"http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR201,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR202,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR301,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR302,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR401,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR402,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR403,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR404,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR501,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR502,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR503,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR504,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR505,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR506,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR601,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR602,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR603,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR604,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR605,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR701,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR702,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR703,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR704,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR705,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR706",Non-indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR201,Statement,,,,,,,,,"Locate basic facts (e.g., names, dates, events) clearly stated in a passage",Reading,,13-15,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR202,Statement,,,,,,,,,Draw simple logical conclusions about the main characters in somewhat challenging literary narratives,Reading,,13-15,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR301,Statement,,,,,,,,,Locate simple details at the sentence and paragraph level in somewhat challenging passages,Reading,,16-19,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR302,Statement,,,,,,,,,Draw simple logical conclusions in somewhat challenging passages,Reading,,16-19,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR401,Statement,,,,,,,,,Locate important details in somewhat challenging passages,Reading,,20-23,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR402,Statement,,,,,,,,,Draw logical conclusions in somewhat challenging passages,Reading,,20-23,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR403,Statement,,,,,,,,,Draw simple logical conclusions in more challenging passages,Reading,,20-23,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR404,Statement,,,,,,,,,Paraphrase some statements as they are used in somewhat challenging passages,Reading,,20-23,Original,,,4,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013reading,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013readingCLR,,Indexable Statement,,
