uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,Standard Document,"ACT, Inc.",ACT College and Career Readiness Standards - Writing,2014,Draft,,"ACT, Inc.","ACT, Inc.",,College and Career Readiness Standards for Writing,Writing,,,,,,,,,,,,,,,"http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingFOC,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingDEV,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingORI,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingUSL",,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,Statement,,,,,,,,,Expressing Judgments (EXJ),Writing,,,Original,,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,"http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ201,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ202,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ301,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ302,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ401,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ402,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ501,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ502,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ601,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ602",Non-indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ201,Statement,,,,,,,,,Show a little understanding of the persuasive purpose of the task but neglect to take or to maintain a position on the issue in the prompt,Writing,,3-4,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ202,Statement,,,,,,,,,Generate reasons for a position that are irrelevant or unclear,Writing,,3-4,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ301,Statement,,,,,,,,,Show a basic understanding of the persuasive purpose of the task by taking a position on the issue in the prompt,Writing,,5-6,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ302,Statement,,,,,,,,,"Generate reasons for a position that are vague or simplistic; show a little recognition of the complexity of the issue in the prompt by briefly noting implications and/or complications of the issue, and/or briefly or unclearly responding to counterarguments to the writer's position",Writing,,5-6,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ401,Statement,,,,,,,,,Show clear understanding of the persuasive purpose of the task by taking a position on the issue in the prompt and offering some context for discussion,Writing,,7-8,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ402,Statement,,,,,,,,,"Generate reasons for a position that are relevant and clear; show some recognition of the complexity of the issue in the prompt by acknowledging implications and/or complications of the issue, and/or providing some response to counterarguments to the writer's position",Writing,,7-8,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ501,Statement,,,,,,,,,Show strong understanding of the persuasive purpose of the task by taking a position on the specific issue in the prompt and offering a broad context for discussion,Writing,,9-10,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ502,Statement,,,,,,,,,"Generate thoughtful reasons for a position; show recognition of the complexity of the issue in the prompt by partially evaluating implications and/or complications of the issue, and/or anticipating and responding to counterarguments to the writer's position",Writing,,9-10,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ601,Statement,,,,,,,,,Show advanced understanding of the persuasive purpose of the task by taking a position on the specific issue in the prompt and offering a critical context for discussion,Writing,,11-12,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ602,Statement,,,,,,,,,"Generate insightful reasons for a position; show understanding of the complexity of the issue in the prompt by examining different perspectives, and/or evaluating implications and/or complications of the issue, and/or anticipating and fully responding to counterarguments to the writer's position",Writing,,11-12,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013writing,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013writingEXJ,,Indexable Statement,,
