uri,type,jurisdiction,title,date_valid,publication_status,date_copyright,author,publisher,rights,description,subject,education_level,score_range,authority_status,statement_notation,statement_label,list_id,local_subject,comment,is_part_of,is_version_of,exact_match,concept_term,alt_statement_notation,is_child_of,has_child,indexing_status,creator,created
http://act-standards-server.herokuapp.com/resources/DCCRS2013math,Standard Document,"ACT, Inc.",ACT College and Career Readiness Standards-Mathematics,2014,Draft,,"ACT, Inc.","ACT, Inc.",,College and Career Readiness Standards for Mathematics,Mathematics,,,,,,,,,,,,,,,"http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathA,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathF,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathG,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathS",,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,Statement,,,,,,,,,Number & Quantity (N),Mathematics,,,Original,,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,"http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN201,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN202,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN203,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN301,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN302,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN303,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN401,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN402,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN403,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN404,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN405,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN406,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN501,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN502,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN503,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN504,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN505,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN601,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN602,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN603,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN604,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN605,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN606,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN607,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN701,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN702,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN703,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN704,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN705,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN706",Non-indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN201,Statement,,,,,,,,,Perform one-operation computation with whole numbers and decimals,Mathematics,,13-15,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN202,Statement,,,,,,,,,Recognize equivalent fractions and fractions in lowest terms,Mathematics,,13-15,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN203,Statement,,,,,,,,,"Locate positive rational numbers (expressed as whole numbers, fractions, decimals, and mixed numbers) on the number line",Mathematics,,13-15,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN301,Statement,,,,,,,,,Recognize one-digit factors of a number,Mathematics,,16-19,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN302,Statement,,,,,,,,,Identify a digitÕs place value,Mathematics,,16-19,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN303,Statement,,,,,,,,,Locate rational numbers on the number line,Mathematics,,16-19,Original,,,3,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN401,Statement,,,,,,,,,"Exhibit knowledge of elementary number concepts such as rounding, the ordering of decimals, pattern identification, primes, and greatest common factor",Mathematics,,20-23,Original,,,1,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN402,Statement,,,,,,,,,Write positive powers of 10 by using exponents,Mathematics,,20-23,Original,,,2,,,http://act-standards-server.herokuapp.com/resources/DCCRS2013math,,,,,http://act-standards-server.herokuapp.com/resources/SCCRS2013mathN,,Indexable Statement,,
